hc_theme_538
hc_theme_alone
hc_theme_bloom
hc_theme_chalk
hc_theme_darkunica
hc_theme_db
hc_theme_economist
hc_theme_elementary
hc_theme_ffx
hc_theme_flat
hc_theme_flatdark
hc_theme_ft
hc_theme_ggplot2
hc_theme_google
hc_theme_gridlight
hc_theme_handdrawn
hc_theme_hcrt
hc_theme_merge
hc_theme_monokai
hc_theme_null
hc_theme_sandsignika
hc_theme_smpl
hc_theme_sparkline
hc_theme_superheroes
hc_theme_tufte
